period_marker,ru_current_account_usd_mn,period_end,available_date_proxy
2020-04-01,23861.64,2020-03-31,2020-06-30
2020-07-01,1265.41,2020-06-30,2020-09-29
2020-10-01,3760.41,2020-09-30,2020-12-30
2021-01-01,6485.23,2020-12-31,2021-04-01
2021-04-01,24110.72,2021-03-31,2021-06-30
2021-07-01,17602.12,2021-06-30,2021-09-29
2021-10-01,35740.06,2021-09-30,2021-12-30
2022-01-01,47500.14,2021-12-31,2022-04-01
2022-04-01,70984.71,2022-03-31,2022-06-30
2022-07-01,77221.28,2022-06-30,2022-09-29
2022-10-01,48054.65,2022-09-30,2022-12-30
2023-01-01,41474.13,2022-12-31,2023-04-01
2023-04-01,14708.02,2023-03-31,2023-06-30
2023-07-01,7628.82,2023-06-30,2023-09-29
2023-10-01,15259.25,2023-09-30,2023-12-30
2024-01-01,11800.43,2023-12-31,2024-03-31
2024-04-01,24662.92,2024-03-31,2024-06-30
2024-07-01,16793.09,2024-06-30,2024-09-29
2024-10-01,7460.22,2024-09-30,2024-12-30
2025-01-01,14342.22,2024-12-31,2025-04-01
2025-04-01,18258.69,2025-03-31,2025-06-30
2025-07-01,2175.04,2025-06-30,2025-09-29
2025-10-01,8239.58,2025-09-30,2025-12-30
2026-01-01,10132.02,2025-12-31,2026-04-01
2026-04-01,12654.4,2026-03-31,2026-06-30
