TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,WAPRICE,OPEN_RUB_PER_UNIT,LOW_RUB_PER_UNIT,HIGH_RUB_PER_UNIT,CLOSE_RUB_PER_UNIT,WAPRICE_RUB_PER_UNIT
2022-06-27,13.02,13.02,13.05,13.05,6,13.0375,0.13019999999999998,0.13019999999999998,0.1305,0.1305,0.130375
2022-06-28,15.0,15.0,15.5,15.5,2,15.25,0.15,0.15,0.155,0.155,0.1525
2022-06-29,15.0,15.0,15.0,15.0,1,15.0,0.15,0.15,0.15,0.15,0.15
2022-06-30,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-07-01,15.0,15.0,15.0,15.0,3,15.0,0.15,0.15,0.15,0.15,0.15
2022-07-04,15.0,14.0,15.0,15.0,6,14.8333,0.15,0.14,0.15,0.15,0.148333
2022-07-05,15.2,15.2,15.2,15.2,4,15.2,0.152,0.152,0.152,0.152,0.152
2022-07-06,14.5,14.25,30.4,30.4,82,18.9557,0.145,0.1425,0.304,0.304,0.189557
2022-07-07,23.2475,23.2475,23.2475,23.2475,7,23.2475,0.232475,0.232475,0.232475,0.232475,0.232475
2022-07-08,17.9725,17.9625,24.6875,18.745,288,18.525,0.179725,0.17962499999999998,0.246875,0.18745,0.18525
2022-07-11,14.4325,14.4325,18.75,16.9975,160,17.0035,0.14432499999999998,0.14432499999999998,0.1875,0.169975,0.170035
2022-07-12,17.5,16.05,17.5,16.255,136,16.772,0.175,0.1605,0.175,0.16255,0.16771999999999998
2022-07-13,17.4,15.6125,17.4,16.9975,154,16.6511,0.174,0.156125,0.174,0.169975,0.166511
2022-07-14,16.455,16.455,17.0,16.99,66,16.9459,0.16454999999999997,0.16454999999999997,0.17,0.1699,0.16945900000000003
2022-07-15,17.0,15.0175,17.0,16.395,93,16.4371,0.17,0.150175,0.17,0.16394999999999998,0.16437100000000002
2022-07-18,17.0,14.11,17.0,14.5,212,14.8623,0.17,0.1411,0.17,0.145,0.148623
2022-07-19,14.5,13.35,14.5,13.8,230,13.822,0.145,0.1335,0.145,0.138,0.13821999999999998
2022-07-20,12.7,12.7,15.0,13.7,93,13.6383,0.127,0.127,0.15,0.13699999999999998,0.136383
2022-07-21,13.8,13.4125,14.8,14.3475,157,13.8157,0.138,0.134125,0.14800000000000002,0.143475,0.138157
2022-07-22,14.3,13.5175,14.7,14.0,143,14.3702,0.14300000000000002,0.135175,0.147,0.14,0.143702
2022-07-25,14.9,14.015,14.9,14.9,123,14.6293,0.149,0.14015,0.149,0.149,0.146293
2022-07-26,14.3425,14.3425,15.85,15.8,119,14.9698,0.143425,0.143425,0.1585,0.158,0.149698
2022-07-27,16.0,15.05,17.0,15.82,150,15.712,0.16,0.1505,0.17,0.1582,0.15712
2022-07-28,14.58,14.58,16.9,15.685,113,16.1635,0.1458,0.1458,0.16899999999999998,0.15685000000000002,0.161635
2022-07-29,16.75,15.5,16.8975,15.7,226,16.4697,0.1675,0.155,0.16897500000000001,0.157,0.16469699999999998
2022-08-01,20.1975,13.015,20.1975,15.9575,232,16.2825,0.20197500000000002,0.13015000000000002,0.20197500000000002,0.159575,0.162825
2022-08-02,16.4725,15.36,16.9,16.75,209,16.783,0.164725,0.1536,0.16899999999999998,0.1675,0.16783
2022-08-03,16.93,16.5,16.93,16.5025,86,16.5596,0.1693,0.165,0.1693,0.165025,0.165596
2022-08-04,16.6,16.02,16.95,16.4825,96,16.5523,0.166,0.1602,0.16949999999999998,0.16482500000000003,0.16552299999999998
2022-08-05,16.8,16.3,16.8,16.3,44,16.5407,0.168,0.163,0.168,0.163,0.165407
2022-08-08,16.4025,15.905,16.7475,16.5,89,16.6458,0.164025,0.15905,0.16747499999999998,0.165,0.16645800000000002
2022-08-09,16.5,16.0125,16.6975,16.5375,45,16.2477,0.165,0.160125,0.166975,0.16537500000000002,0.16247699999999998
2022-08-10,15.6,15.13,16.5375,16.1825,69,16.3146,0.156,0.15130000000000002,0.16537500000000002,0.161825,0.16314599999999999
2022-08-11,16.2075,16.14,16.27,16.2,37,16.1851,0.162075,0.16140000000000002,0.16269999999999998,0.162,0.161851
2022-08-12,16.26,15.8525,16.5975,16.065,38,16.2991,0.16260000000000002,0.158525,0.165975,0.16065000000000002,0.162991
2022-08-15,16.49,16.0725,16.49,16.4375,48,16.3987,0.1649,0.160725,0.1649,0.164375,0.16398700000000002
2022-08-16,16.5325,16.2,16.5325,16.515,53,16.4516,0.165325,0.162,0.165325,0.16515000000000002,0.164516
2022-08-17,16.5675,16.2025,16.7,16.295,50,16.5527,0.165675,0.162025,0.16699999999999998,0.16295,0.165527
2022-08-18,16.695,16.0,16.695,16.4675,66,16.209,0.16695000000000002,0.16,0.16695000000000002,0.16467500000000002,0.16208999999999998
2022-08-19,16.4,15.23,16.4,15.3,151,15.5024,0.16399999999999998,0.1523,0.16399999999999998,0.153,0.155024
2022-08-22,15.5975,14.855,15.5975,15.5575,67,15.1958,0.155975,0.14855000000000002,0.155975,0.155575,0.151958
2022-08-23,15.6675,14.8775,15.6675,15.25,66,15.0952,0.156675,0.148775,0.156675,0.1525,0.150952
2022-08-24,15.7,14.915,15.7,15.25,47,15.5851,0.157,0.14915,0.157,0.1525,0.15585100000000002
2022-08-25,15.2525,14.95,15.3475,15.2875,91,15.0748,0.152525,0.1495,0.153475,0.15287499999999998,0.150748
2022-08-26,15.2825,15.0725,15.2825,15.28,62,15.1999,0.15282500000000002,0.150725,0.15282500000000002,0.1528,0.151999
2022-08-29,15.68,14.91,15.68,15.0025,74,15.0664,0.1568,0.1491,0.1568,0.150025,0.150664
2022-08-30,14.82,14.82,15.4775,15.2975,42,15.1586,0.1482,0.1482,0.154775,0.152975,0.151586
2022-08-31,15.2975,15.0,15.45,15.11,47,15.2939,0.152975,0.15,0.1545,0.15109999999999998,0.15293900000000002
2022-09-01,15.345,15.1075,15.44,15.3875,43,15.3492,0.15345,0.151075,0.15439999999999998,0.15387499999999998,0.153492
2022-09-02,15.5,15.0,15.5,15.1975,118,15.0429,0.155,0.15,0.155,0.151975,0.150429
2022-09-05,15.2,15.1,15.4,15.2,56,15.279,0.152,0.151,0.154,0.152,0.15279
2022-09-06,15.2525,14.95,15.2975,14.975,81,15.1175,0.152525,0.1495,0.152975,0.14975,0.151175
2022-09-07,15.3975,15.05,15.4,15.105,38,15.242,0.153975,0.1505,0.154,0.15105000000000002,0.15242
2022-09-08,15.2975,15.1,15.2975,15.115,43,15.1735,0.152975,0.151,0.152975,0.15115,0.151735
2022-09-09,15.1,15.1,15.3475,15.1975,59,15.1327,0.151,0.151,0.153475,0.151975,0.151327
2022-09-12,15.3475,15.105,15.3475,15.1975,69,15.1975,0.153475,0.15105000000000002,0.153475,0.151975,0.151975
2022-09-13,15.2775,15.0,15.2775,15.02,70,15.0722,0.152775,0.15,0.152775,0.1502,0.150722
2022-09-14,15.2,14.9,15.2375,15.1,80,15.1475,0.152,0.149,0.152375,0.151,0.151475
2022-09-15,14.9,14.5,15.275,14.9,111,14.7402,0.149,0.145,0.15275,0.149,0.147402
2022-09-16,14.9975,14.7775,14.9975,14.8,58,14.8472,0.149975,0.147775,0.149975,0.14800000000000002,0.14847200000000002
2022-09-19,15.2975,14.7575,15.2975,15.0375,61,14.936,0.152975,0.147575,0.152975,0.150375,0.14936
2022-09-20,15.26,14.3,15.26,14.8275,84,14.4743,0.15259999999999999,0.14300000000000002,0.15259999999999999,0.14827500000000002,0.14474299999999998
2022-09-21,14.3,14.3,15.19,14.7025,88,14.8182,0.14300000000000002,0.14300000000000002,0.1519,0.14702500000000002,0.14818199999999998
2022-09-22,14.8975,13.01,14.9,14.5,96,14.4121,0.148975,0.1301,0.149,0.145,0.144121
2022-09-23,14.9875,13.455,14.9875,14.7,90,14.6196,0.149875,0.13455,0.149875,0.147,0.146196
2022-09-26,14.5,13.8,14.9,14.5,141,14.1547,0.145,0.138,0.149,0.145,0.141547
2022-09-27,14.8,14.5025,14.8,14.7175,91,14.666,0.14800000000000002,0.145025,0.14800000000000002,0.147175,0.14666
2022-09-28,14.75,14.5,14.75,14.5025,40,14.6421,0.1475,0.145,0.1475,0.145025,0.146421
2022-09-29,14.7475,14.0325,14.7475,14.69,87,14.5784,0.147475,0.140325,0.147475,0.1469,0.145784
2022-09-30,14.05,14.05,14.9,14.5225,157,14.6925,0.1405,0.1405,0.149,0.14522500000000002,0.146925
2022-10-03,15.0,13.85,15.0,14.51,122,14.732,0.15,0.13849999999999998,0.15,0.1451,0.14732
2022-10-04,15.0,14.5,15.0,14.83,76,14.8435,0.15,0.145,0.15,0.1483,0.148435
2022-10-05,14.3825,14.3825,15.1175,14.93,59,14.8481,0.143825,0.143825,0.151175,0.1493,0.148481
2022-10-06,15.4,14.3,15.4,15.0675,65,15.038,0.154,0.14300000000000002,0.154,0.150675,0.15038
2022-10-07,14.81,14.8025,15.36,14.9825,67,14.9849,0.1481,0.148025,0.1536,0.14982499999999999,0.149849
2022-10-10,15.495,14.515,15.495,15.38,118,15.0036,0.15495,0.14515,0.15495,0.15380000000000002,0.150036
2022-10-11,15.3,14.82,16.29,16.28,106,15.7508,0.153,0.1482,0.1629,0.1628,0.157508
2022-10-12,16.29,15.6025,16.5,16.2975,96,16.0843,0.1629,0.156025,0.165,0.16297499999999998,0.16084299999999999
2022-10-13,16.6,15.68,16.6,15.705,72,16.0309,0.166,0.1568,0.166,0.15705,0.16030899999999998
2022-10-14,16.3,15.8525,16.4975,16.1,69,16.0954,0.163,0.158525,0.16497499999999998,0.161,0.160954
2022-10-17,16.5,15.9,16.5,16.1875,67,16.073,0.165,0.159,0.165,0.161875,0.16073
2022-10-18,16.2675,15.7,16.2675,15.85,30,15.9996,0.162675,0.157,0.162675,0.1585,0.159996
2022-10-19,15.5,15.5,16.2,15.7225,102,15.8248,0.155,0.155,0.162,0.157225,0.158248
2022-10-20,16.1975,15.7325,16.2975,16.2975,56,16.0623,0.161975,0.157325,0.16297499999999998,0.16297499999999998,0.16062300000000002
2022-10-21,15.8875,15.8025,16.6,15.805,87,16.1819,0.158875,0.158025,0.166,0.15805,0.161819
2022-10-24,15.28,15.28,16.19,15.995,83,15.6269,0.1528,0.1528,0.16190000000000002,0.15994999999999998,0.156269
2022-10-25,16.1,15.725,16.1,15.86,45,15.891,0.161,0.15725,0.161,0.1586,0.15891
2022-10-26,16.095,15.76,16.4475,16.21,65,16.0429,0.16094999999999998,0.1576,0.164475,0.16210000000000002,0.160429
2022-10-27,16.8,15.7725,16.8,16.1975,55,16.2317,0.168,0.157725,0.168,0.161975,0.162317
2022-10-28,16.6,16.05,16.6,16.29,47,16.2944,0.166,0.1605,0.166,0.1629,0.162944
2022-10-31,15.83,15.83,16.5,16.25,72,16.1955,0.1583,0.1583,0.165,0.1625,0.161955
2022-11-01,15.835,15.835,16.6,16.14,47,16.1661,0.15835000000000002,0.15835000000000002,0.166,0.16140000000000002,0.161661
2022-11-02,16.6,15.9,16.79,16.325,127,16.2314,0.166,0.159,0.1679,0.16325,0.162314
2022-11-03,16.1,16.1,16.4,16.2475,32,16.1326,0.161,0.161,0.16399999999999998,0.16247499999999998,0.161326
2022-11-07,16.5,16.1,16.5,16.1,29,16.1799,0.165,0.161,0.165,0.161,0.161799
2022-11-08,16.2375,15.85,16.2375,16.0,53,15.9377,0.16237500000000002,0.1585,0.16237500000000002,0.16,0.159377
2022-11-09,15.8525,15.7075,16.1,16.0,50,16.0089,0.158525,0.157075,0.161,0.16,0.160089
2022-11-10,16.2375,15.95,16.2375,16.075,27,16.0092,0.16237500000000002,0.1595,0.16237500000000002,0.16075,0.160092
2022-11-11,15.85,15.8,16.23,15.8,48,15.9276,0.1585,0.158,0.1623,0.158,0.159276
2022-11-14,15.85,15.7,16.0,15.93,56,15.9235,0.1585,0.157,0.16,0.1593,0.15923500000000002
2022-11-15,16.1,15.72,16.24,15.85,48,15.9476,0.161,0.1572,0.1624,0.1585,0.159476
2022-11-16,16.145,15.7275,16.225,16.05,41,16.0403,0.16144999999999998,0.157275,0.16225,0.1605,0.160403
2022-11-17,16.05,15.85,16.3,16.15,35,16.1767,0.1605,0.1585,0.163,0.16149999999999998,0.161767
2022-11-18,16.15,15.7725,16.15,15.9025,21,16.0396,0.16149999999999998,0.157725,0.16149999999999998,0.159025,0.160396
2022-11-21,16.1,15.85,16.1,15.86,30,15.9775,0.161,0.1585,0.161,0.1586,0.159775
2022-11-22,15.8,15.735,15.9,15.89,34,15.8463,0.158,0.15735,0.159,0.1589,0.158463
2022-11-23,16.045,15.61,16.045,15.75,58,15.7664,0.16045,0.1561,0.16045,0.1575,0.157664
2022-11-24,15.99,15.5,15.99,15.625,60,15.5983,0.15990000000000001,0.155,0.15990000000000001,0.15625,0.155983
2022-11-25,15.215,15.215,15.99,15.7975,58,15.8375,0.15215,0.15215,0.15990000000000001,0.157975,0.15837500000000002
2022-11-28,15.7975,15.3325,16.28,15.7,60,15.8186,0.157975,0.153325,0.1628,0.157,0.158186
2022-11-29,16.3875,15.7,16.3875,16.0,45,15.9385,0.163875,0.157,0.163875,0.16,0.159385
2022-11-30,15.71,15.71,16.3,15.99,51,15.9268,0.15710000000000002,0.15710000000000002,0.163,0.15990000000000001,0.159268
2022-12-01,16.29,15.76,16.29,16.0,42,15.9564,0.1629,0.1576,0.1629,0.16,0.159564
2022-12-02,16.12,15.82,16.12,15.82,34,15.966,0.1612,0.1582,0.1612,0.1582,0.15966
2022-12-05,16.2,15.9,16.2,16.0,45,16.0043,0.162,0.159,0.162,0.16,0.16004300000000002
2022-12-06,16.1975,15.95,16.1975,16.1,37,16.1243,0.161975,0.1595,0.161975,0.161,0.16124300000000003
2022-12-07,16.1,16.1,16.3,16.1,31,16.2488,0.161,0.161,0.163,0.161,0.162488
2022-12-08,16.2,15.9,16.2,15.9,33,16.0012,0.162,0.159,0.162,0.159,0.16001200000000002
2022-12-09,15.93,15.85,16.0,15.9,41,15.945,0.1593,0.1585,0.16,0.159,0.15945
2022-12-12,16.2,15.83,16.2,16.15,47,16.1482,0.162,0.1583,0.162,0.16149999999999998,0.161482
2022-12-13,16.15,15.9175,16.25,16.1375,81,16.0635,0.16149999999999998,0.159175,0.1625,0.161375,0.160635
2022-12-14,16.29,15.97,16.29,16.2,50,16.1594,0.1629,0.1597,0.1629,0.162,0.16159400000000002
2022-12-15,16.3,16.1,16.5,16.3,78,16.3498,0.163,0.161,0.165,0.163,0.16349799999999998
2022-12-16,16.5025,16.3,16.6,16.325,80,16.3667,0.165025,0.163,0.166,0.16325,0.163667
2022-12-19,17.0,16.3,17.0,16.7,277,16.5938,0.17,0.163,0.17,0.16699999999999998,0.16593800000000003
2022-12-20,16.55,16.45,17.2,16.7,248,16.8563,0.1655,0.16449999999999998,0.172,0.16699999999999998,0.16856300000000002
2022-12-21,16.9875,16.7,17.3,17.1425,203,17.0105,0.169875,0.16699999999999998,0.17300000000000001,0.171425,0.170105
2022-12-22,17.495,17.1425,18.5,18.3475,244,18.1208,0.17495000000000002,0.171425,0.185,0.183475,0.18120799999999998
2022-12-23,18.45,17.3,18.7,17.6025,87,17.5566,0.1845,0.17300000000000001,0.187,0.176025,0.175566
2022-12-26,17.845,17.56,17.9,17.7,103,17.7869,0.17845,0.17559999999999998,0.179,0.177,0.177869
2022-12-27,17.66,17.55,18.0,17.92,103,17.8113,0.1766,0.17550000000000002,0.18,0.17920000000000003,0.178113
2022-12-28,17.9275,17.71,18.9,18.0,137,18.0906,0.179275,0.1771,0.18899999999999997,0.18,0.18090599999999998
2022-12-29,18.2975,17.82,18.2975,18.01,68,18.0895,0.182975,0.1782,0.182975,0.1801,0.180895
2022-12-30,18.0025,17.805,18.8925,18.0,100,18.2368,0.18002500000000002,0.17804999999999999,0.18892499999999998,0.18,0.18236799999999997
2023-01-03,18.49,18.015,18.89,18.3775,52,18.382,0.18489999999999998,0.18015,0.1889,0.18377500000000002,0.18382
2023-01-04,18.7975,18.03,18.7975,18.3,77,18.3418,0.187975,0.18030000000000002,0.187975,0.183,0.183418
2023-01-05,18.3975,18.11,18.4275,18.305,60,18.3307,0.183975,0.18109999999999998,0.184275,0.18305,0.183307
2023-01-06,18.3875,18.1,18.3875,18.2775,44,18.2831,0.18387499999999998,0.18100000000000002,0.18387499999999998,0.182775,0.18283100000000002
2023-01-09,18.88,17.8,18.88,17.9025,116,18.0109,0.1888,0.17800000000000002,0.1888,0.179025,0.180109
2023-01-10,18.49,15.9,18.49,17.36,345,17.0068,0.18489999999999998,0.159,0.18489999999999998,0.1736,0.170068
2023-01-11,17.6,16.8125,17.6,16.99,154,17.0592,0.17600000000000002,0.168125,0.17600000000000002,0.1699,0.170592
2023-01-12,16.8125,16.25,17.2,16.91,108,17.0129,0.168125,0.1625,0.172,0.1691,0.17012899999999997
2023-01-13,16.7,16.7,17.5,17.12,72,16.9656,0.16699999999999998,0.16699999999999998,0.175,0.17120000000000002,0.16965599999999997
2023-01-16,17.8,16.9,17.87,16.97,150,16.9781,0.17800000000000002,0.16899999999999998,0.1787,0.1697,0.16978100000000002
2023-01-17,17.13,17.0,17.28,17.1875,172,17.0324,0.17129999999999998,0.17,0.1728,0.171875,0.170324
2023-01-18,17.005,17.0,17.2475,17.15,140,17.1228,0.17004999999999998,0.17,0.172475,0.17149999999999999,0.17122800000000002
2023-01-19,17.2475,17.12,17.5,17.5,176,17.3517,0.172475,0.17120000000000002,0.175,0.175,0.173517
