TRADEDATE,OPEN,LOW,HIGH,CLOSE
2022-09-26,0.11,0.11,0.11,0.11
2022-09-27,-0.05,-0.05,-0.05,-0.05
2022-09-28,-0.14,-0.14,-0.14,-0.14
2022-09-29,-0.21,-0.21,-0.21,-0.21
2022-09-30,-1.95,-1.95,-1.95,-1.95
2022-10-10,0.08,0.08,0.08,0.08
2022-10-11,-0.21,-0.21,-0.21,-0.21
2022-10-12,-0.02,-0.02,-0.02,-0.02
2022-10-13,0.0,0.0,0.0,-0.02
2022-10-14,0.32,0.32,0.32,0.32
2022-10-17,0.43,0.43,0.43,0.43
2022-10-18,0.33,0.33,0.33,0.33
2022-10-19,0.34,0.34,0.34,0.34
2022-10-20,0.34,0.34,0.34,0.34
2022-10-21,0.33,0.33,0.33,0.33
2022-10-24,0.31,0.31,0.31,0.31
2022-10-25,0.31,0.31,0.31,0.31
2022-10-26,0.17,0.17,0.17,0.17
2022-10-27,0.15,0.15,0.15,0.15
2022-10-28,0.08,0.08,0.08,0.08
2022-10-31,0.16,0.16,0.16,0.16
2022-11-01,0.15,0.15,0.15,0.15
2022-11-02,0.14,0.14,0.14,0.14
2022-11-03,0.11,0.11,0.11,0.11
2022-11-07,0.21,0.21,0.21,0.21
2022-11-08,0.15,0.15,0.15,0.15
2022-11-09,0.13,0.13,0.13,0.13
2022-11-10,0.15,0.15,0.15,0.15
2022-11-11,0.21,0.21,0.21,0.21
2022-11-14,0.17,0.17,0.17,0.17
2022-11-15,0.15,0.15,0.15,0.15
2022-11-16,0.17,0.17,0.17,0.17
2022-11-17,0.18,0.18,0.18,0.18
2022-11-18,0.23,0.23,0.23,0.23
2022-11-21,0.18,0.18,0.18,0.18
2022-11-22,0.12,0.12,0.12,0.12
2022-11-23,0.17,0.17,0.17,0.17
2022-11-24,0.17,0.17,0.17,0.17
2022-11-25,0.16,0.16,0.16,0.16
2022-11-28,0.16,0.16,0.16,0.16
2022-11-29,0.16,0.16,0.16,0.16
2022-11-30,0.17,0.17,0.17,0.17
2022-12-01,0.2,0.2,0.2,0.2
2022-12-02,0.21,0.21,0.21,0.21
2022-12-05,0.36,0.36,0.36,0.36
2022-12-06,0.41,0.41,0.41,0.41
2022-12-07,0.37,0.37,0.37,0.37
2022-12-08,0.29,0.29,0.29,0.29
2022-12-09,0.23,0.23,0.23,0.23
2022-12-12,0.15,0.15,0.15,0.15
2022-12-13,0.16,0.16,0.16,0.16
2022-12-14,0.17,0.17,0.17,0.17
2022-12-15,0.28,0.28,0.28,0.28
2022-12-16,0.28,0.28,0.28,0.28
2022-12-19,0.25,0.25,0.25,0.25
2022-12-20,0.26,0.26,0.26,0.26
2022-12-21,0.49,0.49,0.49,0.49
2022-12-22,2.66,2.66,2.66,2.66
2022-12-23,2.54,2.54,2.54,2.54
2022-12-26,2.0,2.0,2.0,2.0
2022-12-27,2.57,2.57,2.57,2.57
2022-12-28,6.21,6.21,6.21,6.21
2022-12-29,7.28,7.28,7.28,7.28
2023-01-09,4.4,4.4,4.4,4.4
2023-01-10,5.33,5.33,5.33,5.33
2023-01-11,2.96,2.96,2.96,2.96
2023-01-12,1.56,1.56,1.56,1.56
2023-01-13,2.01,2.01,2.01,2.01
2023-01-16,2.58,2.58,2.58,2.58
2023-01-17,3.03,3.03,3.03,3.03
2023-01-18,3.79,3.79,3.79,3.79
2023-01-19,1.73,1.73,1.73,1.73
2023-01-20,1.05,1.05,1.05,1.05
2023-01-30,0.94,0.94,0.94,0.94
2023-01-31,0.94,0.94,0.94,0.94
2023-02-01,0.64,0.64,0.64,0.64
2023-02-02,0.43,0.43,0.43,0.43
2023-02-03,0.33,0.33,0.33,0.33
2023-02-06,0.21,0.21,0.21,0.21
2023-02-07,0.23,0.23,0.23,0.23
2023-02-08,0.19,0.19,0.19,0.19
2023-02-09,0.25,0.25,0.25,0.25
2023-02-10,0.22,0.22,0.22,0.22
2023-02-13,0.5,0.5,0.5,0.5
2023-02-14,0.39,0.39,0.39,0.39
2023-02-15,0.38,0.38,0.38,0.38
2023-02-16,0.45,0.45,0.45,0.45
2023-02-17,0.46,0.46,0.46,0.46
2023-02-20,0.46,0.46,0.46,0.46
2023-02-21,0.53,0.53,0.53,0.53
2023-02-22,1.12,1.12,1.12,1.12
2023-02-27,1.03,1.03,1.03,1.03
2023-02-28,1.88,1.88,1.88,1.88
2023-03-01,1.31,1.31,1.31,1.31
2023-03-02,1.11,1.11,1.11,1.11
2023-03-03,1.09,1.09,1.09,1.09
2023-03-06,1.09,1.09,1.09,1.09
2023-03-07,0.99,0.99,0.99,0.99
2023-03-09,1.08,1.08,1.08,1.08
2023-03-10,0.99,0.99,0.99,0.99
2023-03-13,0.83,0.83,0.83,0.83
2023-03-14,0.82,0.82,0.82,0.82
2023-03-15,0.88,0.88,0.88,0.88
2023-03-16,0.81,0.81,0.81,0.81
2023-03-17,1.02,1.02,1.02,1.02
2023-03-20,2.4,2.4,2.4,2.4
2023-03-21,3.12,3.12,3.12,3.12
2023-03-22,1.43,1.43,1.43,1.43
2023-03-23,1.09,1.09,1.09,1.09
2023-03-24,1.27,1.27,1.27,1.27
2023-03-27,1.94,1.94,1.94,1.94
2023-03-28,2.62,2.62,2.62,2.62
2023-03-29,2.79,2.79,2.79,2.79
2023-03-30,2.85,2.85,2.85,2.85
2023-03-31,3.18,3.18,3.18,3.18
2023-04-03,3.29,3.29,3.29,3.29
