TRADEDATE,OPEN,LOW,HIGH,CLOSE,VALUE,VOLUME
2020-01-03,22.45,22.03,22.96,22.69,0,
2020-01-06,22.63,22.52,24.23,22.77,0,
2020-01-08,22.6,21.79,23.2,22.96,0,
2020-01-09,22.94,21.54,24.48,22.42,0,
2020-01-10,22.01,19.55,22.55,19.65,0,
2020-01-13,19.8,18.94,20.65,19.87,0,
2020-01-14,19.75,18.2,19.98,19.84,0,
2020-01-15,19.81,18.17,20.33,19.83,0,
2020-01-16,20.03,16.99,20.05,17.49,0,
2020-01-17,17.3,16.29,17.99,17.67,0,
2020-01-20,17.74,17.45,19.27,18.92,0,
2020-01-21,18.77,17.6,18.93,18.09,0,
2020-01-22,18.24,17.38,18.99,17.93,0,
2020-01-23,18.11,17.55,19.63,19.53,0,
2020-01-24,19.62,17.87,19.64,19.08,0,
2020-01-27,18.99,18.45,21.61,21.23,0,
2020-01-28,21.27,19.32,21.51,19.38,0,
2020-01-29,19.24,19.24,20.85,20.19,0,
2020-01-30,19.96,19.81,22.51,22.24,0,
2020-01-31,22.14,20.98,22.4,21.38,0,
2020-02-03,21.79,21.24,23.14,22.18,0,
2020-02-04,22.23,22.07,23.3,22.89,0,
2020-02-05,22.95,21.24,23.22,22.45,0,
2020-02-06,22.56,21.64,24.12,24.01,0,
2020-02-07,23.96,23.17,24.57,23.44,0,
2020-02-10,23.39,22.61,24.78,24.15,0,
2020-02-11,24.01,22.33,24.37,22.95,0,
2020-02-12,22.98,22.43,23.52,22.54,0,
2020-02-13,22.49,21.84,23.01,22.63,0,
2020-02-14,22.73,21.51,23.22,21.9,0,
2020-02-17,21.97,21.24,23.27,22.24,0,
2020-02-18,22.29,21.64,23.39,22.63,0,
2020-02-19,22.95,22.02,23.32,22.28,0,
2020-02-20,22.38,21.94,22.58,22.02,0,
2020-02-21,21.94,21.25,22.42,21.51,0,
2020-02-25,21.35,21.35,26.43,26.41,0,
2020-02-26,26.63,26.38,28.89,27.41,0,
2020-02-27,27.71,27.68,31.89,31.27,0,
2020-02-28,31.55,30.88,45.59,39.76,0,
2020-03-02,39.12,34.63,41.16,40.46,0,
2020-03-03,38.83,36.39,39.12,37.45,0,
2020-03-04,36.8,36.49,41.14,37.86,0,
2020-03-05,37.76,37.27,39.26,38.69,0,
2020-03-06,39.21,39.1,46.18,45.96,0,
2020-03-10,46.59,46.1,74.2,60.21,0,
2020-03-11,63.09,61.44,65.87,65.56,0,
2020-03-12,65.19,64.24,94.46,94.41,0,
2020-03-13,91.66,82.28,95.85,87.1,0,
2020-03-16,84.68,82.13,101.18,96.65,0,
