effective_date,nbk_base_rate,source_year
2020-02-04,9.25,2020
2020-03-10,12.0,2020
2020-03-17,12.0,2020
2020-04-06,9.5,2020
2020-04-28,9.5,2020
2020-06-09,9.5,2020
2020-07-21,9.0,2020
2020-09-08,9.0,2020
2020-10-27,9.0,2020
2020-12-15,9.0,2020
2021-01-26,9.0,2021
2022-01-25,10.25,2022
2022-02-24,13.5,2022
2023-01-16,16.75,2023
2023-02-27,16.75,2023
2023-04-10,16.75,2023
2023-05-29,16.75,2023
2023-07-10,16.75,2023
2023-08-28,16.5,2023
2023-10-09,16.0,2023
2023-11-27,15.75,2023
2024-01-22,15.25,2024
2024-02-26,14.75,2024
2024-04-15,14.75,2024
2024-06-03,14.5,2024
2024-07-15,14.25,2024
2024-09-02,14.25,2024
2024-10-14,14.25,2024
2024-12-02,15.25,2024
2025-01-20,15.25,2025
2025-03-11,16.5,2025
2025-04-14,16.5,2025
2025-06-09,16.5,2025
2025-07-14,16.5,2025
2025-09-02,16.5,2025
2025-10-13,18.0,2025
2025-12-01,18.0,2025
2026-01-26,18.0,2026
2026-03-10,18.0,2026
2026-04-27,18.0,2026
2026-06-08,17.0,2026
2026-07-27,16.75,2026
