date,inflationTarget,annualInflation,baseRate,tonia
2026-02-24,5.0,12.2,18.0,17.18
2026-02-25,5.0,12.2,18.0,17.3
2026-02-26,5.0,12.2,18.0,17.34
2026-02-27,5.0,12.2,18.0,17.8
2026-02-28,5.0,12.2,18.0,17.97
2026-03-01,5.0,12.2,18.0,17.97
2026-03-02,5.0,12.2,18.0,17.97
2026-03-03,5.0,11.7,18.0,17.51
2026-03-04,5.0,11.7,18.0,17.74
2026-03-05,5.0,11.7,18.0,18.03
2026-03-06,5.0,11.7,18.0,18.19
2026-03-07,5.0,11.7,18.0,18.06
2026-03-08,5.0,11.7,18.0,18.06
2026-03-09,5.0,11.7,18.0,18.06
2026-03-10,5.0,11.7,18.0,18.06
2026-03-11,5.0,11.7,18.0,17.61
2026-03-12,5.0,11.7,18.0,17.6
2026-03-13,5.0,11.7,18.0,17.5
2026-03-14,5.0,11.7,18.0,17.41
2026-03-15,5.0,11.7,18.0,17.41
2026-03-16,5.0,11.7,18.0,17.41
2026-03-17,5.0,11.7,18.0,17.68
2026-03-18,5.0,11.7,18.0,18.1
2026-03-19,5.0,11.7,18.0,17.86
2026-03-20,5.0,11.7,18.0,17.73
2026-03-21,5.0,11.7,18.0,17.77
2026-03-22,5.0,11.7,18.0,17.77
2026-03-23,5.0,11.7,18.0,17.77
2026-03-24,5.0,11.7,18.0,17.77
2026-03-25,5.0,11.7,18.0,17.77
2026-03-26,5.0,11.7,18.0,17.77
2026-03-27,5.0,11.7,18.0,17.77
2026-03-28,5.0,11.7,18.0,17.81
2026-03-29,5.0,11.7,18.0,17.81
2026-03-30,5.0,11.7,18.0,17.81
2026-03-31,5.0,11.7,18.0,17.79
2026-04-01,5.0,11.7,18.0,18.25
2026-04-02,5.0,11.0,18.0,18.35
2026-04-03,5.0,11.0,18.0,18.08
2026-04-04,5.0,11.0,18.0,17.9
2026-04-05,5.0,11.0,18.0,17.9
2026-04-06,5.0,11.0,18.0,17.9
2026-04-08,5.0,11.0,18.0,17.66
2026-04-09,5.0,11.0,18.0,17.66
2026-04-10,5.0,11.0,18.0,18.04
2026-04-11,5.0,11.0,18.0,17.86
2026-04-12,5.0,11.0,18.0,17.86
2026-04-13,5.0,11.0,18.0,17.86
2026-04-14,5.0,11.0,18.0,18.04
2026-04-15,5.0,11.0,18.0,18.16
