comparison_id,fast_config_id,slow_config_id,fold_test_year,corridor,fast_signal_date,fast_target_h5,confirmed_within_maximum_wait,maximum_wait_cbr_rows,slow_confirmation_date,wait_cbr_rows,slow_target_h5,official_rate_waiting_cost_bps
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,KGS,2023-01-12,0,True,10,2023-01-20,6.0,0.0,-49.39433287236894
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,UZS,2023-01-18,1,True,10,2023-01-26,6.0,1.0,106.32780082987514
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,KGS,2023-01-24,1,True,10,2023-02-01,6.0,0.0,273.88508649828447
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,KZT,2023-01-31,1,False,10,,,,
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,AMD,2023-02-04,1,False,10,,,,
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,UZS,2023-02-11,1,False,10,,,,
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,AMD,2023-02-17,0,True,10,2023-02-23,4.0,1.0,70.42587124382216
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,AMD,2023-02-23,1,True,10,2023-02-23,0.0,1.0,0.0
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,AMD,2023-03-04,0,True,10,2023-03-10,3.0,0.0,50.51518284747259
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,AMD,2023-03-11,0,True,10,2023-03-22,7.0,0.0,113.68283307434446
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,AMD,2023-03-17,0,True,10,2023-03-22,3.0,0.0,63.27182471059789
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,AMD,2023-03-23,0,True,10,2023-04-01,7.0,1.0,39.69655088926327
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,AMD,2023-03-29,1,True,10,2023-04-01,3.0,1.0,90.28693095407104
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,AMD,2023-04-04,1,False,10,,,,
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,TJS,2023-04-14,0,False,10,,,,
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,AMD,2023-04-20,0,True,10,2023-04-20,0.0,0.0,0.0
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,AMD,2023-04-26,0,True,10,2023-04-26,0.0,0.0,0.0
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,KGS,2023-05-03,0,False,10,,,,
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,AMD,2023-05-12,1,False,10,,,,
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,AMD,2023-05-26,0,True,10,2023-05-30,2.0,1.0,14.879370815177317
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,UZS,2023-06-03,1,False,10,,,,
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,AMD,2023-06-09,1,True,10,2023-06-16,4.0,0.0,240.77697366870154
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,KGS,2023-06-16,0,False,10,,,,
cny_basis_fast_vs_official_history,hgb_plus_cnyrub_basis,hgb_base,2023,KGS,2023-06-23,1,False,10,,,,
